Product.Name,SAP,Melt.Point,Hot.Tensile,Cold.Tensile,GFN.Raw,GFN.Coated,LOI,Lake,KFB,IO,eco
Custom Coat Miller 40L-1.3,380267,203,259,392,NA,40.7,1.67,Yes,Yes,NA,NA
Custom Coat Miller 60-1.5,362227,212,201,341,NA,59.3,1.77,NA,NA,NA,NA
Custom Coat Miller 60-1.5EZ,380213,215,170,308,NA,59.5,1.8,NA,Yes,NA,NA
Custom Coat Miller 60-1.5H,380331,224,192,293,NA,NA,1.78,NA,NA,NA,NA
Custom Coat Miller 60-2.0,362229,205,280,NA,NA,NA,2.33,NA,NA,NA,NA
Custom Coat Miller 60-2.0H,363142,234,243,340,NA,58.5,2.23,NA,NA,NA,NA
Custom Coat Miller 60-2.0HEZ,364346,226,221,351,NA,58.7,2.29,NA,Yes,NA,NA
Custom Coat Miller 60-3.0,362261,229,416,495,NA,56.7,3.33,NA,NA,NA,NA
Custom Coat Miller 60-3.75B,369192,226,502,596,NA,55.5,3.97,NA,NA,Yes,NA
Custom Coat Miller 80-2.0,362263,206,242,513,NA,71.2,2.34,NA,NA,NA,NA
Custom Coat Mueller 80-3.5R,380203,222,444,525,NA,69.2,3.74,NA,NA,Yes,NA
Custom Coat Mueller 80L-3.5R,380335,222,453,541,NA,67.7,3.81,Yes,NA,Yes,NA
Custom Coat NIBCO 80-2.0,362887,219,288,475,76.5,NA,2.4,NA,NA,NA,NA
Custom Coat Nibco 80-2.25,380476,220,246,401,75.6,NA,2.59,NA,NA,NA,NA
Custom Coat Opta 50-5.5,363371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Opta 60-2.5,362526,226,364,472,60.4,NA,2.76,NA,NA,NA,NA
Custom Coat Opta 60-2.5EZ,380096,229,329,421,60.9,NA,2.78,NA,Yes,NA,NA
Custom Coat Opta 60-3.0H,362508,226,431,576,61.6,NA,3.37,NA,NA,NA,NA
Custom Coat Opta 65-2.6,362174,219,404,542,63.1,NA,2.92,NA,NA,NA,NA
Custom Coat Opta 70-1.75,362168,215,233,347,68.7,NA,2.01,NA,NA,NA,NA
